Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,5,153,8,Some Random Commen with Id 0
1,0,5,110,5,Some Random Commen with Id 1
2,0,5,41,1,Some Random Commen with Id 2
3,0,5,82,0,Some Random Commen with Id 3
4,1,0,38,4,Some Random Commen with Id 4
5,1,0,102,9,Some Random Commen with Id 5
6,1,0,192,5,Some Random Commen with Id 6
7,1,0,129,4,Some Random Commen with Id 7
8,1,0,144,6,Some Random Commen with Id 8
9,2,4,60,0,Some Random Commen with Id 9
10,2,4,160,9,Some Random Commen with Id 10
11,3,2,138,1,Some Random Commen with Id 11
12,3,2,67,2,Some Random Commen with Id 12
13,3,2,29,2,Some Random Commen with Id 13
14,4,6,136,2,Some Random Commen with Id 14
15,4,6,13,7,Some Random Commen with Id 15
16,4,6,197,6,Some Random Commen with Id 16
17,4,6,64,1,Some Random Commen with Id 17
18,4,6,9,8,Some Random Commen with Id 18
19,4,6,179,3,Some Random Commen with Id 19
20,5,4,128,5,Some Random Commen with Id 20
21,5,4,118,1,Some Random Commen with Id 21
22,5,4,175,9,Some Random Commen with Id 22
23,5,4,16,6,Some Random Commen with Id 23
24,5,4,116,3,Some Random Commen with Id 24
25,5,4,161,7,Some Random Commen with Id 25
26,5,4,134,3,Some Random Commen with Id 26
27,5,4,88,6,Some Random Commen with Id 27
28,5,4,56,8,Some Random Commen with Id 28
29,6,5,88,1,Some Random Commen with Id 29
30,6,5,142,6,Some Random Commen with Id 30
31,6,5,45,5,Some Random Commen with Id 31
32,6,5,142,2,Some Random Commen with Id 32
33,6,5,134,9,Some Random Commen with Id 33
34,6,5,66,2,Some Random Commen with Id 34
35,6,5,126,6,Some Random Commen with Id 35
36,6,5,39,1,Some Random Commen with Id 36
37,7,5,4,7,Some Random Commen with Id 37
38,7,5,101,1,Some Random Commen with Id 38
39,7,5,84,6,Some Random Commen with Id 39
40,7,5,148,3,Some Random Commen with Id 40
41,7,5,80,5,Some Random Commen with Id 41
42,7,5,50,6,Some Random Commen with Id 42
43,8,6,183,5,Some Random Commen with Id 43
44,9,5,60,6,Some Random Commen with Id 44
45,9,5,144,6,Some Random Commen with Id 45
46,11,5,13,4,Some Random Commen with Id 46
47,11,5,190,6,Some Random Commen with Id 47
48,11,5,53,2,Some Random Commen with Id 48
49,11,5,182,9,Some Random Commen with Id 49
50,11,5,17,5,Some Random Commen with Id 50
51,11,5,23,2,Some Random Commen with Id 51
52,11,5,32,0,Some Random Commen with Id 52
53,12,0,127,0,Some Random Commen with Id 53
54,12,0,126,3,Some Random Commen with Id 54
55,12,0,134,3,Some Random Commen with Id 55
56,12,0,157,7,Some Random Commen with Id 56
57,13,8,36,2,Some Random Commen with Id 57
58,13,8,120,7,Some Random Commen with Id 58
59,13,8,35,9,Some Random Commen with Id 59
60,13,8,97,6,Some Random Commen with Id 60
61,13,8,112,9,Some Random Commen with Id 61
62,14,3,36,0,Some Random Commen with Id 62
63,14,3,43,9,Some Random Commen with Id 63
64,14,3,189,1,Some Random Commen with Id 64
65,14,3,127,2,Some Random Commen with Id 65
66,14,3,140,4,Some Random Commen with Id 66
67,14,3,147,9,Some Random Commen with Id 67
68,14,3,175,6,Some Random Commen with Id 68
69,15,6,153,2,Some Random Commen with Id 69
70,16,9,165,7,Some Random Commen with Id 70
71,16,9,22,6,Some Random Commen with Id 71
